mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.28289070129394533,0.020944692339897025,0.013554620742797851,0.004848897944197009,,CountVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8778386844166014,0.8935003915426781,0.8785266457680251,0.8989028213166145,0.8605015673981191,0.8818540220884076,0.013486446290153414,23,0.9780607247796278,0.976101860920666,0.9770857814336075,0.9770857814336075,0.9778691735213474,0.9772406644177712,0.0006946039983980132
0.2815821170806885,0.020630758138507052,0.01704268455505371,0.003844442733521679,,CountVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8786217697729053,0.8935003915426781,0.8738244514106583,0.8871473354231975,0.8644200626959248,0.8795028021690727,0.01014771217939322,24,0.9796278158667973,0.9778648383937316,0.9790442616529573,0.9800235017626322,0.9802193497845672,0.9793559534921371,0.0008468245439620747
0.3108669281005859,0.011973774015175404,0.018531084060668945,0.004822522582354481,,CountVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8888018794048551,0.9044635865309318,0.8847962382445141,0.9028213166144201,0.8824451410658307,0.8926656323721105,0.00920482523714936,22,0.980411361410382,0.9784524975514202,0.9800235017626322,0.9806110458284372,0.9810027418723071,0.9801002296850359,0.000882402707302672
0.34687161445617676,0.03650415648453808,0.018631744384765624,0.0023928378064061945,,CountVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8872357086922474,0.9052466718872357,0.890282131661442,0.8996865203761756,0.8824451410658307,0.8929792347365861,0.0083271517433079,21,0.9811949069539667,0.9794319294809011,0.981198589894242,0.981198589894242,0.981786133960047,0.9809620300366797,0.0007983116907985671
0.8263784408569336,0.07441132558610472,0.019429874420166016,0.005790484951190368,,TfidfVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8981989036805011,0.9091620986687549,0.8863636363636364,0.8996865203761756,0.8871473354231975,0.896111698902453,0.00851860601581829,20,0.9780607247796278,0.976101860920666,0.9770857814336075,0.9770857814336075,0.9778691735213474,0.9772406644177712,0.0006946039983980132
0.9076502799987793,0.09642573820451095,0.0167849063873291,0.003317657301168745,,TfidfVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8880187940485513,0.9185591229444009,0.8879310344827587,0.9075235109717869,0.8949843260188087,0.8994033576932612,0.011946803436819581,18,0.9796278158667973,0.9778648383937316,0.9790442616529573,0.9800235017626322,0.9802193497845672,0.9793559534921371,0.0008468245439620747
1.0179992198944092,0.05387435317273607,0.018364381790161134,0.00610998144878837,,TfidfVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.894283476898982,0.9083790133124511,0.8942006269592476,0.9004702194357367,0.8832288401253918,0.8961124353463618,0.008275824349233595,19,0.980411361410382,0.9784524975514202,0.9800235017626322,0.9806110458284372,0.9810027418723071,0.9801002296850359,0.000882402707302672
1.3487765789031982,0.24801461633457905,0.018278169631958007,0.004844148012646276,,TfidfVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8966327329678935,0.9115113547376664,0.8934169278996865,0.9020376175548589,0.89576802507837,0.8998733316476951,0.006467888157963603,17,0.9811949069539667,0.9794319294809011,0.981198589894242,0.981198589894242,0.981786133960047,0.9809620300366797,0.0007983116907985671
0.0938833236694336,0.006751068689198797,0.011416482925415038,0.006881249950318297,5,CountVectorizer(),1000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.9052466718872357,0.9138606108065779,0.896551724137931,0.9122257053291536,0.9028213166144201,0.9061412057550637,0.006330724474317646,15,0.9118511263467189,0.9116552399608228,0.9150019584802194,0.9104974539757148,0.9120642381511946,0.9122140033829341,0.0014956979255079342
0.1026738166809082,0.006871697147435638,0.013616704940795898,0.005970186482775518,5,CountVectorizer(),1500,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.9060297572435395,0.9138606108065779,0.896551724137931,0.9122257053291536,0.9028213166144201,0.9062978228263244,0.00631632721197375,13,0.9118511263467189,0.9116552399608228,0.9150019584802194,0.9104974539757148,0.9120642381511946,0.9122140033829341,0.0014956979255079342
0.10998706817626953,0.009061768256835792,0.023068904876708984,0.008833293125106285,5,CountVectorizer(),2000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.9060297572435395,0.9130775254502741,0.8981191222570533,0.9122257053291536,0.9036050156739812,0.9066114251908003,0.005564649835159349,10,0.9118511263467189,0.9116552399608228,0.9151978065021543,0.9104974539757148,0.9120642381511946,0.9122531729873211,0.0015689663834572065
