mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__l1_ratio,param_classifier__penalty,param_classifier__solver,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3334671974182129,0.07551020545519242,0.018755149841308594,0.006248280125341179,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8872357086922474,0.8958496476115897,0.8644200626959248,0.8918495297805643,0.8730407523510971,0.8824791402262846,0.011869398119878517,31,0.8887365328109696,0.8887365328109696,0.8983548766157462,0.8836662749706228,0.8926752839796318,0.890433900237588,0.004885253974531817
0.2696784019470215,0.04015200817918835,0.015625572204589842,3.6954110660548326e-06,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8872357086922474,0.8958496476115897,0.8644200626959248,0.8918495297805643,0.8730407523510971,0.8824791402262846,0.011869398119878517,31,0.8889324191968658,0.8885406464250735,0.8983548766157462,0.8836662749706228,0.8926752839796318,0.890433900237588,0.004886824632228039
0.294644832611084,0.05012794869212919,0.015636348724365236,1.619394029596275e-05,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8872357086922474,0.8958496476115897,0.8644200626959248,0.8918495297805643,0.8730407523510971,0.8824791402262846,0.011869398119878517,31,0.8887365328109696,0.8887365328109696,0.8981590285938112,0.8836662749706228,0.8926752839796318,0.890394730633201,0.0048219622981860765
0.39933505058288576,0.12819742257420874,0.029581308364868164,0.007233065420162925,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8872357086922474,0.8958496476115897,0.8644200626959248,0.8918495297805643,0.8730407523510971,0.8824791402262846,0.011869398119878517,31,0.8887365328109696,0.8887365328109696,0.8983548766157462,0.8836662749706228,0.8926752839796318,0.890433900237588,0.004885253974531817
0.2758458614349365,0.03562537478381285,0.029532909393310547,0.007615872458111583,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8402505873140172,0.7768206734534064,0.7766457680250783,0.7876175548589341,0.8409090909090909,0.8044487349121054,0.029768216488410052,61,0.8571988246816846,0.7774730656219393,0.7933803368585978,0.7824128476302389,0.8507638072855465,0.8122457764156014,0.03452380371871553
0.20738468170166016,0.027954327235527102,0.019682788848876955,0.010614645400614454,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.7791699295223179,0.7760375880971025,0.7648902821316614,0.7821316614420063,0.7695924764890282,0.7743643875364232,0.0063048106408296395,64,0.783741429970617,0.7706170421155729,0.7835879357618488,0.7798668233450842,0.77262044653349,0.7780867355453226,0.005496983189640493
0.17705707550048827,0.019203756787562518,0.019911575317382812,0.0060089347820212555,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.7697729052466719,0.7744714173844949,0.7609717868338558,0.7735109717868338,0.768025078369906,0.7693504319243525,0.004809809213163151,65,0.7723800195886386,0.7723800195886386,0.7784958871915394,0.7716412064238152,0.7706619663141402,0.7731118198213544,0.002764913401165697
0.19032607078552247,0.014234309677118072,0.017264509201049806,0.002540510021754065,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.7682067345340642,0.7713390759592795,0.762539184952978,0.774294670846395,0.7656739811912225,0.7684107294967879,0.004128012097191068,66,0.7725759059745347,0.7678746327130265,0.7771249510379945,0.7720329024676851,0.7708578143360753,0.7720932413058632,0.00299591879207153
0.2133946418762207,0.022338693306862917,0.017613697052001952,0.0027884292652442673,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8817541111981206,0.8966327329678935,0.8628526645768025,0.8910658307210031,0.8738244514106583,0.8812259581748956,0.0120567903430765,39,0.8859941234084231,0.8871694417238002,0.8971797884841363,0.8820994907951429,0.8901292596944771,0.888514420821196,0.005040009848819924
0.23621225357055664,0.0336020275216658,0.020453834533691408,0.0070028975362893126,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8817541111981206,0.8966327329678935,0.8628526645768025,0.8910658307210031,0.8746081504702194,0.8813826979868079,0.011964290254556208,37,0.8859941234084231,0.8871694417238002,0.8969839404622013,0.8820994907951429,0.890325107716412,0.8885144208211958,0.004986452547499083
